experiment,participant_id,item_index,nll_minitaur,nll_ours,delta_log_likelihood
keuleers2011_britishlexiconproject,2_block_12,0,2.25,0.2294921875,2.0205078125
keuleers2011_britishlexiconproject,2_block_12,1,0.91015625,0.283203125,0.626953125
keuleers2011_britishlexiconproject,2_block_12,2,0.640625,0.08984375,0.55078125
keuleers2011_britishlexiconproject,2_block_12,3,0.63671875,0.158203125,0.478515625
keuleers2011_britishlexiconproject,2_block_12,4,0.431640625,0.05322265625,0.37841796875
keuleers2011_britishlexiconproject,2_block_12,5,0.52734375,0.023193359375,0.504150390625
keuleers2011_britishlexiconproject,2_block_12,6,0.390625,0.12451171875,0.26611328125
keuleers2011_britishlexiconproject,2_block_12,7,0.431640625,0.06787109375,0.36376953125
keuleers2011_britishlexiconproject,2_block_12,8,0.3125,0.0155029296875,0.2969970703125
keuleers2011_britishlexiconproject,2_block_12,9,0.1787109375,0.03076171875,0.14794921875
keuleers2011_britishlexiconproject,2_block_12,10,0.3515625,0.023193359375,0.328369140625
keuleers2011_britishlexiconproject,2_block_12,11,0.22265625,0.023193359375,0.199462890625
keuleers2011_britishlexiconproject,2_block_12,12,0.1455078125,0.007781982421875,0.137725830078125
keuleers2011_britishlexiconproject,2_block_12,13,0.2041015625,0.0155029296875,0.1885986328125
keuleers2011_britishlexiconproject,2_block_12,14,0.1455078125,0.0155029296875,0.1300048828125
keuleers2011_britishlexiconproject,2_block_12,15,0.06787109375,0.023193359375,0.044677734375
keuleers2011_britishlexiconproject,2_block_12,16,0.10400390625,0.007781982421875,0.096221923828125
keuleers2011_britishlexiconproject,2_block_12,17,0.08984375,0.007781982421875,0.082061767578125
keuleers2011_britishlexiconproject,2_block_12,18,0.08251953125,0.007781982421875,0.074737548828125
keuleers2011_britishlexiconproject,2_block_12,19,0.06787109375,0.007781982421875,0.060089111328125
keuleers2011_britishlexiconproject,2_block_12,20,0.10400390625,0.007781982421875,0.096221923828125
keuleers2011_britishlexiconproject,2_block_12,21,0.0458984375,0.0,0.0458984375
keuleers2011_britishlexiconproject,2_block_12,22,0.08251953125,0.0,0.08251953125
keuleers2011_britishlexiconproject,2_block_12,23,0.06787109375,0.0155029296875,0.0523681640625
keuleers2011_britishlexiconproject,2_block_12,24,0.08984375,0.0,0.08984375
keuleers2011_britishlexiconproject,2_block_12,25,0.060546875,0.0,0.060546875
keuleers2011_britishlexiconproject,2_block_12,26,0.08251953125,0.0,0.08251953125
keuleers2011_britishlexiconproject,2_block_12,27,0.05322265625,0.007781982421875,0.045440673828125
keuleers2011_britishlexiconproject,2_block_12,28,0.05322265625,0.0,0.05322265625
keuleers2011_britishlexiconproject,2_block_12,29,0.05322265625,0.0,0.05322265625
keuleers2011_britishlexiconproject,2_block_12,30,0.06787109375,0.0,0.06787109375
keuleers2011_britishlexiconproject,2_block_12,31,0.0458984375,0.007781982421875,0.038116455078125
keuleers2011_britishlexiconproject,2_block_12,32,0.0458984375,0.0,0.0458984375
keuleers2011_britishlexiconproject,2_block_12,33,0.0458984375,0.0,0.0458984375
keuleers2011_britishlexiconproject,2_block_12,34,0.05322265625,0.0,0.05322265625
keuleers2011_britishlexiconproject,2_block_12,35,0.060546875,0.0,0.060546875
keuleers2011_britishlexiconproject,2_block_12,36,0.0458984375,0.007781982421875,0.038116455078125
